Dish Name,State,Cooking Time,Ingredients,Detailed Process,Serving Suggestions
Mysore Pak,Karnataka,30 mins,"Gram flour, Ghee, Sugar, Water","1. Heat ghee in a pan. 2. Add gram flour and roast until golden. 3. In another pan, dissolve sugar in water and boil to a single thread consistency. 4. Mix roasted flour into sugar syrup and stir until it thickens. 5. Pour into a greased tray and let it set before cutting into pieces.",Serve as a dessert or snack.
Masala Dosa,Karnataka,20 mins,"Rice, Urad dal, Potato, Onion, Mustard seeds, Curry leaves","1. Soak rice and urad dal overnight and grind to a batter. 2. Ferment for a few hours. 3. Cook potatoes and mash them with sauteed onions and spices for filling. 4. Spread batter on a hot tawa, fill with potato mixture, and fold.",Serve with coconut chutney and sambar.
Bisi Bele Bath,Karnataka,45 mins,"Rice, Toor dal, Mixed vegetables, Bisi Bele Bath powder, Tamarind","1. Cook rice and toor dal separately. 2. In a pot, cook mixed vegetables. 3. Add cooked rice, dal, and bisi bele bath powder along with tamarind pulp. 4. Mix and cook for a few minutes. 5. Temper with mustard seeds and curry leaves.",Serve hot with raita.
Ragi Mudde,Karnataka,30 mins,"Ragi flour, Water","1. Boil water and slowly add ragi flour, stirring continuously. 2. Cook until it forms a dough-like consistency. 3. Shape into balls and serve with sambar or curry.",Great with spicy curry or chutney.
Chicken Curry,Karnataka,60 mins,"Chicken, Onions, Tomatoes, Spices","1. Saute onions until golden. 2. Add tomatoes and spices, cooking until soft. 3. Add chicken and cook until done. 4. Simmer with water for desired consistency.",Serve with rice or rotis.
Fish Fry,Karnataka,30 mins,"Fish, Rice flour, Spices",1. Marinate fish with spices. 2. Coat with rice flour. 3. Fry in hot oil until crispy on both sides.,Serve with lemon wedges and onion slices.
Mutton Curry,Karnataka,60 mins,"Mutton, Onions, Tomatoes, Spices","1. Saute onions, add tomatoes and spices. 2. Add mutton and brown. 3. Cook with water until tender.","Serve with Ragi mudde , chapathi , dosa or rice."
Prawn Biryani,Karnataka,70 mins,"Prawns, Basmati rice, Spices, Onions","1. Marinate prawns with spices. 2. Cook rice separately. 3. Saute onions, add prawns and layer with rice. 4. Cook on low heat to meld flavors.",Serve with raita.
Kalu Gojju,Karnataka,30 mins,"Mixed vegetables, Coconut, Mustard seeds",1. Cook mixed vegetables until soft. 2. Grind coconut with spices. 3. Mix ground coconut into vegetables and cook for a few minutes.,Serve as a side dish with rice.
Sakkarai Pongal,Tamil Nadu,30 mins,"Rice, Moong dal, Jaggery, Ghee, Cashews, Cardamom","1. Cook rice and moong dal together. 2. Melt jaggery with water, strain, and mix with the cooked rice and dal. 3. Add ghee, cashews, and cardamom. Cook until well combined.",Serve as a festive dessert.
Sambar Rice,Tamil Nadu,45 mins,"Rice, Toor dal, Sambar powder, Mixed vegetables",1. Cook rice and toor dal separately. 2. Cook mixed vegetables and mix with sambar powder and water. 3. Combine with rice and serve hot.,Enjoy with papad and pickles.
Chettinad Chicken Curry,Tamil Nadu,60 mins,"Chicken, Onions, Tomatoes, Chettinad masala","1. Grind Chettinad masala and saute with onions. 2. Add tomatoes and chicken, cooking until tender. 3. Simmer for rich flavor.",Serve with appam or rice.
Kothu Parotta,Tamil Nadu,30 mins,"Parotta, Eggs, Vegetables, Spices","1. Shred parotta and fry with eggs, vegetables, and spices. 2. Stir well until mixed and heated through.",Serve with a side of curry or raita.
